timestamp(ms),Speed_RPM,Error,
"1705049901.276","0",,
"1705049901.278",,"100",
"1705049901.288","18.08",,
"1705049901.289",,"81.92",
"1705049901.3","30.92",,
"1705049901.302",,"69.08",
"1705049901.31","44.27",,
"1705049901.312",,"55.73",
"1705049901.321","62.6",,
"1705049901.323",,"37.4",
"1705049901.333","67.81",,
"1705049901.335",,"32.19",
"1705049901.344","74.7",,
"1705049901.346",,"25.3",
"1705049901.356","91.46",,
"1705049901.357",,"8.54",
"1705049901.367","87.21",,
"1705049901.368",,"12.79",
"1705049901.379","94.46",,
"1705049901.38",,"5.54",
"1705049901.39","85.23",,
"1705049901.391",,"14.77",
"1705049901.401","70.75",,
"1705049901.403",,"29.25",
"1705049901.413","60.1",,
"1705049901.415",,"39.9",
"1705049901.425","55.56",,
"1705049901.426",,"44.44",
"1705049901.436","45.84",,
"1705049901.438",,"54.16",
"1705049901.448","33.36",,
"1705049901.449",,"66.64",
"1705049901.459","29.18",,
"1705049901.46",,"70.82",
"1705049901.47","24.12",,
"1705049901.472",,"75.88",
"1705049901.482","21.17",,
"1705049901.483",,"78.83",
"1705049901.493","19.98",,
"1705049901.494",,"80.02",
"1705049901.504","39.98",,
"1705049901.506",,"60.02",
"1705049901.516","44.17",,
"1705049901.518",,"55.83",
"1705049901.527","53.19",,
"1705049901.529",,"46.81",
"1705049901.539","70.49",,
"1705049901.54",,"29.51",
"1705049901.55","68.56",,
"1705049901.552",,"31.44",
"1705049901.561","77.32",,
"1705049901.563",,"22.68",
"1705049901.573","80.65",,
"1705049901.574",,"19.35",
"1705049901.584","76.22",,
"1705049901.586",,"23.78",
"1705049901.596","73.1",,
"1705049901.598",,"26.9",
"1705049901.607","64.21",,
"1705049901.609",,"35.79",
"1705049901.618","62.4",,
"1705049901.62",,"37.6",
"1705049901.63","58.59",,
"1705049901.633",,"41.41",
"1705049901.641","49.02",,
"1705049901.643",,"50.98",
"1705049901.652","50.81",,
"1705049901.654",,"49.19",
"1705049901.664","47.41",,
"1705049901.666",,"52.59",
"1705049901.675","39.1",,
"1705049901.677",,"60.9",
"1705049901.687","36.95",,
"1705049901.689",,"63.05",
"1705049901.699","43.3",,
"1705049901.7",,"56.7",
"1705049901.71","51.3",,
"1705049901.711",,"48.7",
"1705049901.721","48.76",,
"1705049901.722",,"51.24",
"1705049901.733","53.42",,
"1705049901.734",,"46.58",
"1705049901.744","66.25",,
"1705049901.746",,"33.75",
"1705049901.756","62.81",,
"1705049901.757",,"37.19",
"1705049901.767","61.58",,
"1705049901.768",,"38.42",
"1705049901.778","70.75",,
"1705049901.78",,"29.25",
"1705049901.79","65.22",,
"1705049901.791",,"34.78",
"1705049901.802","67.57",,
"1705049901.803",,"32.43",
"1705049901.813","64.88",,
"1705049901.815",,"35.12",
"1705049901.825","55.31",,
"1705049901.826",,"44.69",
"1705049901.836","57.08",,
"1705049901.838",,"42.92",
"1705049901.848","55.15",,
"1705049901.849",,"44.85",
"1705049901.858","48.32",,
"1705049901.86",,"51.68",
"1705049901.87","52.08",,
"1705049901.872",,"47.92",
"1705049901.882","51.02",,
"1705049901.884",,"48.98",
"1705049901.894","46.07",,
"1705049901.895",,"53.93",
"1705049901.904","44.96",,
"1705049901.906",,"55.04",
"1705049901.917","51.72",,
"1705049901.918",,"48.28",
"1705049901.927","54.9",,
"1705049901.929",,"45.1",
"1705049901.938","52.08",,
"1705049901.94",,"47.92",
"1705049901.95","53.12",,
"1705049901.952",,"46.88",
"1705049901.961","55.89",,
"1705049901.963",,"44.11",
"1705049901.973","56.14",,
"1705049901.974",,"43.86",
"1705049901.984","56.31",,
"1705049901.986",,"43.69",
"1705049901.995","63.34",,
"1705049901.997",,"36.66",
"1705049902.007","56.31",,
"1705049902.008",,"43.69",
"1705049902.018","53.12",,
"1705049902.02",,"46.88",
"1705049902.03","55.89",,
"1705049902.032",,"44.11",
"1705049902.041","49.73",,
"1705049902.043",,"50.27",
"1705049902.053","53.27",,
"1705049902.054",,"46.73",
"1705049902.065","52.45",,
"1705049902.066",,"47.55",
"1705049902.076","47.77",,
"1705049902.077",,"52.23",
"1705049902.087","45.13",,
"1705049902.089",,"54.87",
"1705049902.099","47.77",,
"1705049902.101",,"52.23",
"1705049902.11","45.62",,
"1705049902.112",,"54.38",
"1705049902.121","47.47",,
"1705049902.123",,"52.53",
"1705049902.133","54.51",,
"1705049902.134",,"45.49",
"1705049902.144","56.9",,
"1705049902.146",,"43.1",
"1705049902.156","54.51",,
"1705049902.158",,"45.49",
"1705049902.167","53.04",,
"1705049902.169",,"46.96",
"1705049902.178","63.03",,
"1705049902.18",,"36.97",
"1705049902.19","57.6",,
"1705049902.191",,"42.4",
"1705049902.201","55.72",,
"1705049902.203",,"44.28",
"1705049902.213","64.99",,
"1705049902.215",,"35.01",
"1705049902.224","57.08",,
"1705049902.226",,"42.92",
"1705049902.236","53.57",,
"1705049902.237",,"46.43",
"1705049902.247","62.09",,
"1705049902.249",,"37.91",
"1705049902.258","51.87",,
"1705049902.26",,"48.13",
"1705049902.27","52.08",,
"1705049902.271",,"47.92",
"1705049902.282","60.1",,
"1705049902.284",,"39.9",
"1705049902.293","50.47",,
"1705049902.294",,"49.53",
"1705049902.304","50.88",,
"1705049902.306",,"49.12",
"1705049902.317","55.31",,
"1705049902.318",,"44.69",
"1705049902.327","56.99",,
"1705049902.329",,"43.01",
"1705049902.338","52.59",,
"1705049902.34",,"47.41",
"1705049902.35","52.59",,
"1705049902.352",,"47.41",
"1705049902.361","54.51",,
"1705049902.363",,"45.49",
"1705049902.373","54.03",,
"1705049902.374",,"45.97",
"1705049902.384","53.8",,
"1705049902.386",,"46.2",
"1705049902.395","55.31",,
"1705049902.397",,"44.69",
"1705049902.407","54.66",,
"1705049902.409",,"45.34",
"1705049902.419","53.96",,
"1705049902.42",,"46.04",
"1705049902.43","55.23",,
"1705049902.432",,"44.77",
"1705049902.442","53.5",,
"1705049902.443",,"46.5",
"1705049902.453","58.5",,
"1705049902.455",,"41.5",
"1705049902.465","53.65",,
"1705049902.467",,"46.35",
"1705049902.476","52.45",,
"1705049902.478",,"47.55",
"1705049902.488","57.52",,
"1705049902.489",,"42.48",
"1705049902.499","57.96",,
"1705049902.501",,"42.04",
"1705049902.51","54.03",,
"1705049902.512",,"45.97",
"1705049902.522","51.3",,
"1705049902.524",,"48.7",
"1705049902.534","60.58",,
"1705049902.535",,"39.42",
"1705049902.545","54.43",,
"1705049902.548",,"45.57",
"1705049902.557","51.72",,
"1705049902.558",,"48.28",
"1705049902.568","60.78",,
"1705049902.57",,"39.22",
"1705049902.58","51.51",,
"1705049902.582",,"48.49",
"1705049902.591","52.3",,
"1705049902.593",,"47.7",
"1705049902.603","56.82",,
"1705049902.604",,"43.18",
"1705049902.614","57.43",,
"1705049902.616",,"42.57",
"1705049902.626","52.23",,
"1705049902.627",,"47.77",
"1705049902.637","55.8",,
"1705049902.644",,"44.2",
"1705049902.664","55.89",,
"1705049902.679","49.87","50.13",
"1705049902.686","50.88","49.12",
